fecha;descripcion;ambito;id_mun;mun
25/02/2020;Martes de Entroido;Local;27044;Pastoriza, A
19/10/2020;San Lucas;Local;27044;Pastoriza, A
25/02/2020;Martes de Entroido;Local;27045;Pedrafita do Cebreiro
09/09/2020;Santa María A Real do Cebreiro;Local;27045;Pedrafita do Cebreiro
25/02/2020;Martes de Entroido;Local;27046;Pol
24/08/2020;festa do Emigrante;Local;27046;Pol
15/06/2020;luns seguinte ao Corpus;Local;27047;Pobra do Brollón, A
27/08/2020;San Vitorio;Local;27047;Pobra do Brollón, A
25/02/2020;Martes de Entroido;Local;27048;Pontenova, A
20/03/2020;ponte de San Xosé;Local;27048;Pontenova, A
25/02/2020;Martes de Entroido;Local;27049;Portomarín
07/09/2020;Santo Cristo das Vitorias;Local;27049;Portomarín
13/04/2020;Luns de Pascua;Local;27050;Quiroga
11/11/2020;San Martiño;Local;27050;Quiroga
25/02/2020;Martes de Entroido;Local;27051;Ribadeo
08/09/2020;patroa Santa María do Campo;Local;27051;Ribadeo
17/08/2020;festas patronais de San Roque;Local;27052;Ribas de Sil
30/10/2020;San Clodio;Local;27052;Ribas de Sil
25/02/2020;Martes de Entroido;Local;27053;Ribeira de Piquín
23/04/2020;San Xurxo;Local;27053;Ribeira de Piquín
25/02/2020;Martes de Entroido;Local;27054;Riotorto
29/06/2020;San Pedro;Local;27054;Riotorto
09/01/2020;San Xulián e Santa Basilisa;Local;27055;Samos
13/07/2020;Luns de San Benito;Local;27055;Samos
25/02/2020;Martes de Entroido;Local;27056;Rábade
14/08/2020;Nosa Señora da Asunción;Local;27056;Rábade
25/06/2020;festa local;Local;27057;Sarria
08/09/2020;festa local;Local;27057;Sarria
25/02/2020;Martes de Entroido;Local;27058;Saviñao, O
04/08/2020;festas locais de Escairón;Local;27058;Saviñao, O
08/09/2020;festivo local;Local;27059;Sober
21/09/2020;festivo local;Local;27059;Sober
25/02/2020;Martes de Entroido;Local;27060;Taboada
10/08/2020;festa da vila;Local;27060;Taboada
25/02/2020;Martes de Entroido;Local;27061;Trabada
14/08/2020;festivo local;Local;27061;Trabada
25/02/2020;Martes de Entroido;Local;27062;Triacastela
17/08/2020;San Mamede;Local;27062;Triacastela
25/02/2020;Martes de Entroido;Local;27063;Valadouro, O
09/09/2020;festivo local;Local;27063;Valadouro, O
25/02/2020;Martes de Entroido;Local;27064;Vicedo, O
03/08/2020;Santo Estevo;Local;27064;Vicedo, O
31/08/2020;San Ramón;Local;27065;Vilalba
01/09/2020;Santa María;Local;27065;Vilalba
25/02/2020;Martes de Entroido;Local;27066;Viveiro
24/08/2020;festa local;Local;27066;Viveiro
27/08/2020;festas de San Vitorio;Local;27901;Baralla
28/08/2020;festas de San Vitorio;Local;27901;Baralla
25/02/2020;Martes de Entroido;Local;27902;Burela
08/06/2020;festivo local;Local;27902;Burela
25/02/2020;Martes de Entroido;Local;32001;Allariz
12/06/2020;Venres do Boi;Local;32001;Allariz
25/02/2020;Martes de Entroido;Local;32002;Amoeiro
11/11/2020;San Martiño;Local;32002;Amoeiro
22/05/2020;Santa Rita;Local;32003;Arnoia, A
31/07/2020;festa do Pemento;Local;32003;Arnoia, A
25/02/2020;Martes de Entroido;Local;32004;Avión
03/08/2020;Luns de San Roque;Local;32004;Avión
25/02/2020;Martes de Entroido;Local;32005;Baltar
21/05/2020;día da Ascensión;Local;32005;Baltar
25/02/2020;Martes de Entroido;Local;32006;Bande
24/08/2020;festas de San Roque;Local;32006;Bande
06/08/2020;San Salvador;Local;32007;Baños de Molgas
08/09/2020;Nosa Sra. dos Milagres;Local;32007;Baños de Molgas
25/02/2020;Martes de Entroido;Local;32008;Barbadás
11/11/2020;San Martiño;Local;32008;Barbadás
22/05/2020;Santa Rita;Local;32009;Barco de Valdeorras, O
14/09/2020;Día do Cristo;Local;32009;Barco de Valdeorras, O
03/02/2020;San Brais;Local;32010;Beade
02/07/2020;Santa Isabel;Local;32010;Beade
04/08/2020;Santo Domingo;Local;32011;Beariz
11/11/2020;San Martiño;Local;32011;Beariz
25/02/2020;Martes de Entroido;Local;32012;Blancos, Os
15/09/2020;Virxe das Dores;Local;32012;Blancos, Os
25/02/2020;Martes de Entroido;Local;32013;Boborás
24/08/2020;festa de San Bartolomeu;Local;32013;Boborás
25/02/2020;Martes de Entroido;Local;32014;Bola, A
04/05/2020;Santa Cruz;Local;32014;Bola, A
17/08/2020;;Local;32015;Bolo, O
14/12/2020;;Local;32015;Bolo, O
25/02/2020;Martes de Entroido;Local;32016;Calvos de Randín
03/08/2020;día seguinte á Festa de Calvos;Local;32016;Calvos de Randín
25/02/2020;Martes de Entroido;Local;32017;Carballeda de Valdeorras
20/04/2020;Nª Sra. da Encarnación;Local;32017;Carballeda de Valdeorras
25/02/2020;Martes de Entroido;Local;32018;Carballeda de Avia
01/06/2020;Luns de Lodairo;Local;32018;Carballeda de Avia
25/02/2020;Martes de Entroido;Local;32019;Carballiño, O
17/09/2020;San Cibrao;Local;32019;Carballiño, O
25/02/2020;Martes de Entroido;Local;32020;Cartelle
01/06/2020;Virxe das Marabillas;Local;32020;Cartelle
17/01/2020;San Antón;Local;32021;Castrelo do Val
26/02/2020;Mércores de Cinza;Local;32021;Castrelo do Val
25/02/2020;Martes de Entroido;Local;32022;Castrelo de Miño
05/08/2020;festividade da Virxe das Neves;Local;32022;Castrelo de Miño
20/01/2020;Día do San Sebastián;Local;32023;Castro Caldelas
08/09/2020;Nosa Señora dos Remedios;Local;32023;Castro Caldelas
15/05/2020;festividade de San Torcuato;Local;32024;Celanova
15/09/2020;Virxe do Cristal;Local;32024;Celanova
25/02/2020;Martes de Entroido;Local;32025;Cenlle
11/11/2020;San Martiño;Local;32025;Cenlle
25/02/2020;Martes de Entroido;Local;32026;Coles
11/11/2020;San Martiño;Local;32026;Coles
10/07/2020;;Local;32027;Cortegada
24/07/2020;;Local;32027;Cortegada
26/02/2020;Mércores de Cinza;Local;32028;Cualedro
16/07/2020;festa do Carme;Local;32028;Cualedro
25/02/2020;Martes de Entroido;Local;32029;Chandrexa de Queixa
07/09/2020;luns posterior á festa do Cordeiro;Local;32029;Chandrexa de Queixa
21/02/2020;Venres de Entroido;Local;32030;Entrimo
25/02/2020;Martes de Entroido;Local;32030;Entrimo
25/02/2020;Martes de Entroido;Local;32031;Esgos
11/11/2020;San Martiño;Local;32031;Esgos
25/02/2020;Martes de Entroido;Local;32032;Xinzo de Limia
17/07/2020;Santa Mariña;Local;32032;Xinzo de Limia
20/03/2020;;Local;32033;Gomesende
24/07/2020;;Local;32033;Gomesende
25/02/2020;festividade do Beato Sebastián de Aparicio;Local;32034;Gudiña, A
24/08/2020;San Bartolomeu;Local;32034;Gudiña, A
25/02/2020;Martes de Entroido;Local;32035;Irixo, O
13/05/2020;Virxe de Fátima;Local;32035;Irixo, O
29/04/2020;San Pedro;Local;32036;Xunqueira de Ambía
17/08/2020;San Roque;Local;32036;Xunqueira de Ambía
25/02/2020;Martes de Entroido;Local;32037;Xunqueira de Espadanedo
06/07/2020;Santa Isabel;Local;32037;Xunqueira de Espadanedo
17/07/2020;Santa Mariña;Local;32038;Larouco
08/09/2020;Santa María dos Remedios;Local;32038;Larouco
26/02/2020;Mércores de Cinza;Local;32039;Laza
04/05/2020;día seguinte ao Santo Cristo;Local;32039;Laza
29/06/2020;San Pedro;Local;32040;Leiro
11/11/2020;San Martiño;Local;32040;Leiro
22/01/2020;San Vicente;Local;32041;Lobeira
08/09/2020;Viso Pequeno;Local;32041;Lobeira
25/02/2020;Martes de Entroido;Local;32042;Lobios
12/08/2020;;Local;32042;Lobios
25/02/2020;Martes de Entroido;Local;32043;Maceda
11/08/2020;festas patronais de Maceda;Local;32043;Maceda
25/02/2020;Martes de Entroido;Local;32044;Manzaneda
10/08/2020;Virxe das Neves;Local;32044;Manzaneda
25/02/2020;Martes de Entroido;Local;32045;Maside
27/08/2020;San Vitorio;Local;32045;Maside
25/02/2020;Martes de Entroido;Local;32046;Melón
11/06/2020;Corpus Christi;Local;32046;Melón
25/02/2020;Martes de Entroido;Local;32047;Merca, A
08/06/2020;Espírito Santo;Local;32047;Merca, A
05/08/2020;Festa da Virxe das Neves;Local;32048;Mezquita, A
11/11/2020;San Martiño;Local;32048;Mezquita, A
25/02/2020;Martes de Entroido;Local;32049;Montederramo
14/08/2020;San Roque;Local;32049;Montederramo
26/02/2020;Mércores de Cinza;Local;32050;Monterrei
01/06/2020;festa da Caridade;Local;32050;Monterrei
25/02/2020;Martes de Entroido;Local;32051;Muíños
11/11/2020;San Martiño;Local;32051;Muíños
25/02/2020;Martes de Entroido;Local;32052;Nogueira de Ramuín
11/11/2020;San Martiño;Local;32052;Nogueira de Ramuín
26/02/2020;Mércores de Cinza;Local;32053;Oímbra
08/09/2020;festividade dos Remedios;Local;32053;Oímbra
